ref	object	object_type	peeled_object	peeled_type	created_at	subject	original_url	commit_url
refs/tags/v4.17-rc4	757758d955574686dd47a12b9ff821ef496b21b8	tag	75bc37fefc4471e718ba8e651aa74673d4e0a9eb	commit	2018-05-06T16:57:52-10:00	Linux 4.17-rc4	https://github.com/extfuse/linux/releases/tag/v4.17-rc4	https://github.com/extfuse/linux/commit/75bc37fefc4471e718ba8e651aa74673d4e0a9eb
refs/tags/v4.17-rc5	2710afc17affbc818249bf9a378423da6a97adb5	tag	67b8d5c7081221efa252e111cd52532ec6d4266f	commit	2018-05-13T16:15:27-07:00	Linux 4.17-rc5	https://github.com/extfuse/linux/releases/tag/v4.17-rc5	https://github.com/extfuse/linux/commit/67b8d5c7081221efa252e111cd52532ec6d4266f
refs/tags/v4.17-rc6	f5a91149feade0213a7ec9dac8615f41f2f15027	tag	771c577c23bac90597c685971d7297ea00f99d11	commit	2018-05-20T15:31:47-07:00	Linux 4.17-rc6	https://github.com/extfuse/linux/releases/tag/v4.17-rc6	https://github.com/extfuse/linux/commit/771c577c23bac90597c685971d7297ea00f99d11
refs/tags/v4.17-rc7	0504ece5232c8e66b5c2ef6c97c485e058ec7064	tag	b04e217704b7f879c6b91222b066983a44a7a09f	commit	2018-05-27T13:01:57-07:00	Linux 4.17-rc7	https://github.com/extfuse/linux/releases/tag/v4.17-rc7	https://github.com/extfuse/linux/commit/b04e217704b7f879c6b91222b066983a44a7a09f
refs/tags/v4.18	85262cb1fbc5cc267b3c86bc162a02dedd219548	tag	94710cac0ef4ee177a63b5227664b38c95bbf703	commit	2018-08-12T13:41:12-07:00	Linux 4.18	https://github.com/extfuse/linux/releases/tag/v4.18	https://github.com/extfuse/linux/commit/94710cac0ef4ee177a63b5227664b38c95bbf703
refs/tags/v4.18-rc1	7f40f7193eaee45287374eed75ecfd5ba893f709	tag	ce397d215ccd07b8ae3f71db689aedb85d56ab40	commit	2018-06-17T08:04:58+09:00	Linux 4.18-rc1	https://github.com/extfuse/linux/releases/tag/v4.18-rc1	https://github.com/extfuse/linux/commit/ce397d215ccd07b8ae3f71db689aedb85d56ab40
refs/tags/v4.18-rc2	fb87fcb6b1ae28324b266e48281eed938d6f9f42	tag	7daf201d7fe8334e2d2364d4e8ed3394ec9af819	commit	2018-06-24T20:54:37+08:00	Linux 4.18-rc2	https://github.com/extfuse/linux/releases/tag/v4.18-rc2	https://github.com/extfuse/linux/commit/7daf201d7fe8334e2d2364d4e8ed3394ec9af819
refs/tags/v4.18-rc3	b976618f9aab4783db47d1ab6d40201807e388e8	tag	021c91791a5e7e85c567452f1be3e4c2c6cb6063	commit	2018-07-01T16:05:03-07:00	Linux 4.18-rc3	https://github.com/extfuse/linux/releases/tag/v4.18-rc3	https://github.com/extfuse/linux/commit/021c91791a5e7e85c567452f1be3e4c2c6cb6063
refs/tags/v4.18-rc4	a4246a64e18f55e7dced22acf8a71f3b8401bd18	tag	1e4b044d22517cae7047c99038abb444423243ca	commit	2018-07-08T16:34:12-07:00	Linux 4.18-rc4	https://github.com/extfuse/linux/releases/tag/v4.18-rc4	https://github.com/extfuse/linux/commit/1e4b044d22517cae7047c99038abb444423243ca
refs/tags/v4.18-rc5	1383782787b75342dcbc1b0c67b510a0ac1c1c11	tag	9d3cce1e8b8561fed5f383d22a4d6949db4eadbe	commit	2018-07-15T12:49:41-07:00	Linux 4.18-rc5	https://github.com/extfuse/linux/releases/tag/v4.18-rc5	https://github.com/extfuse/linux/commit/9d3cce1e8b8561fed5f383d22a4d6949db4eadbe
refs/tags/v4.18-rc6	8734478edfd20d9ee223ea24afb38187d2a8c939	tag	d72e90f33aa4709ebecc5005562f52335e106a60	commit	2018-07-22T14:12:29-07:00	Linux 4.18-rc6	https://github.com/extfuse/linux/releases/tag/v4.18-rc6	https://github.com/extfuse/linux/commit/d72e90f33aa4709ebecc5005562f52335e106a60
refs/tags/v4.18-rc7	71257c9661c8053cc071fcd7eb2d14549161509c	tag	acb1872577b346bd15ab3a3f8dff780d6cca4b70	commit	2018-07-29T14:44:58-07:00	Linux 4.18-rc7	https://github.com/extfuse/linux/releases/tag/v4.18-rc7	https://github.com/extfuse/linux/commit/acb1872577b346bd15ab3a3f8dff780d6cca4b70
refs/tags/v4.18-rc8	9331534f9b0bc629c3e77677439636736447cf84	tag	1ffaddd029c867d134a1dde39f540dcc8c52e274	commit	2018-08-05T12:37:48-07:00	Linux 4.18-rc8	https://github.com/extfuse/linux/releases/tag/v4.18-rc8	https://github.com/extfuse/linux/commit/1ffaddd029c867d134a1dde39f540dcc8c52e274
refs/tags/v4.19	2241b8bcf2b5f1b01ebb1cbd1231bbbb72230064	tag	84df9525b0c27f3ebc2ebb1864fa62a97fdedb7d	commit	2018-10-22T07:47:45+01:00	This is the 4.19 release	https://github.com/extfuse/linux/releases/tag/v4.19	https://github.com/extfuse/linux/commit/84df9525b0c27f3ebc2ebb1864fa62a97fdedb7d
refs/tags/v4.19-rc1	0eaf7a1a2dcfb1d287af95e4a5d4fb7d7be94cbf	tag	5b394b2ddf0347bef56e50c69a58773c94343ff3	commit	2018-08-26T14:12:14-07:00	Linux 4.19-rc1	https://github.com/extfuse/linux/releases/tag/v4.19-rc1	https://github.com/extfuse/linux/commit/5b394b2ddf0347bef56e50c69a58773c94343ff3
refs/tags/v4.19-rc2	f703a4f77147a05a73d889992bd6b02a152d84d6	tag	57361846b52bc686112da6ca5368d11210796804	commit	2018-09-02T14:37:39-07:00	Linux 4.19-rc2	https://github.com/extfuse/linux/releases/tag/v4.19-rc2	https://github.com/extfuse/linux/commit/57361846b52bc686112da6ca5368d11210796804
refs/tags/v4.19-rc3	549008abfd88f89951ac70c8bf78a27a726d7478	tag	11da3a7f84f19c26da6f86af878298694ede0804	commit	2018-09-09T17:26:52-07:00	Linux 4.19-rc3	https://github.com/extfuse/linux/releases/tag/v4.19-rc3	https://github.com/extfuse/linux/commit/11da3a7f84f19c26da6f86af878298694ede0804
